region,date,week_day,retail and recreation,grocery and pharmacy,parks,transit_stations,workplaces,residential,mese,holidays,daily_vax,tot_vax,news_score,active_cases,new_cases,tot_deaths,new_deaths,tot_hospitalization,color
Abruzzo,15/02/2020,6,2,2,36,9,0,-1,2,N,,0,-10,,,,,,
Aosta,15/02/2020,6,8,5,27,12,2,-1,2,N,,0,-10,,,,,,
Apulia,15/02/2020,6,-1,1,4,2,-1,0,2,N,,0,-10,,,,,,
Basilicata,15/02/2020,6,-1,-1,12,0,-1,0,2,N,,0,-10,,,,,,
Calabria,15/02/2020,6,-2,-2,12,3,1,0,2,N,,0,-10,,,,,,
Campania,15/02/2020,6,2,-1,23,10,0,-2,2,N,,0,-10,,,,,,
Emilia-Romagna,15/02/2020,6,5,4,25,7,1,-2,2,N,,0,-10,,,,,,
Friuli-Venezia Giulia,15/02/2020,6,3,1,45,10,1,-1,2,N,,0,-10,,,,,,
Italia,15/02/2020,6,3,-1,35,9,0,-1,2,N,,,-10,,,,,,
Lazio,15/02/2020,6,4,-1,43,9,1,-2,2,N,,0,-10,,,,,,
Liguria,15/02/2020,6,3,2,41,8,1,-1,2,N,,0,-10,,,,,,
Lombardy,15/02/2020,6,2,-1,50,8,-2,-1,2,N,,0,-10,,,,,,
Marche,15/02/2020,6,4,-1,32,9,1,-1,2,N,,0,-10,,,,,,
Molise,15/02/2020,6,2,1,25,4,2,-1,2,N,,0,-10,,,,,,
Piedmont,15/02/2020,6,1,0,23,4,0,-1,2,N,,0,-10,,,,,,
Sardinia,15/02/2020,6,-2,-1,23,4,0,0,2,N,,0,-10,,,,,,
Sicily,15/02/2020,6,0,-2,20,1,-2,0,2,N,,0,-10,,,,,,
Trentino-South Tyrol,15/02/2020,6,4,2,22,12,0,-1,2,N,,0,-10,,,,,,
Tuscany,15/02/2020,6,5,0,75,13,1,-2,2,N,,0,-10,,,,,,
Umbria,15/02/2020,6,3,-1,55,14,-2,-2,2,N,,0,-10,,,,,,
Veneto,15/02/2020,6,6,1,54,18,1,-2,2,N,,0,-10,,,,,,
Abruzzo,16/02/2020,7,2,8,47,26,-1,-2,2,N,,0,-10,,,,,,
Aosta,16/02/2020,7,9,6,14,14,1,0,2,N,,0,-10,,,,,,
Apulia,16/02/2020,7,3,0,73,12,-1,-1,2,N,,0,-10,,,,,,
Basilicata,16/02/2020,7,6,1,38,13,1,-1,2,N,,0,-10,,,,,,
Calabria,16/02/2020,7,3,2,32,8,-1,-1,2,N,,0,-10,,,,,,
Campania,16/02/2020,7,1,-1,30,17,1,-2,2,N,,0,-10,,,,,,
Emilia-Romagna,16/02/2020,7,1,6,39,5,0,-2,2,N,,0,-10,,,,,,
Friuli-Venezia Giulia,16/02/2020,7,5,5,36,12,1,-1,2,N,,0,-10,,,,,,
Italia,16/02/2020,7,3,2,26,11,1,-2,2,N,,,-10,,,,,,
Lazio,16/02/2020,7,6,1,37,8,1,-3,2,N,,0,-10,,,,,,
Liguria,16/02/2020,7,0,3,-10,2,-1,0,2,N,,0,-10,,,,,,
Lombardy,16/02/2020,7,-1,2,13,2,0,-1,2,N,,0,-10,,,,,,
Marche,16/02/2020,7,5,7,49,20,0,-2,2,N,,0,-10,,,,,,
Molise,16/02/2020,7,9,3,63,25,3,-2,2,N,,0,-10,,,,,,
Piedmont,16/02/2020,7,1,0,5,7,1,-1,2,N,,0,-10,,,,,,
Sardinia,16/02/2020,7,4,0,32,8,0,-1,2,N,,0,-10,,,,,,
Sicily,16/02/2020,7,1,1,27,7,-1,-1,2,N,,0,-10,,,,,,
Trentino-South Tyrol,16/02/2020,7,10,11,16,15,1,-1,2,N,,0,-10,,,,,,
Tuscany,16/02/2020,7,4,2,30,11,1,-2,2,N,,0,-10,,,,,,
Umbria,16/02/2020,7,4,6,39,22,1,-3,2,N,,0,-10,,,,,,
Veneto,16/02/2020,7,5,4,48,27,2,-2,2,N,,0,-10,,,,,,
Abruzzo,17/02/2020,1,-1,2,11,7,1,-1,2,N,,0,-10,,,,,,
Aosta,17/02/2020,1,11,8,14,5,1,0,2,N,,0,-10,,,,,,
Apulia,17/02/2020,1,-1,0,13,4,1,-1,2,N,,0,-10,,,,,,
Basilicata,17/02/2020,1,-2,0,10,1,1,-1,2,N,,0,-10,,,,,,
Calabria,17/02/2020,1,-1,-1,18,5,1,0,2,N,,0,-10,,,,,,
Campania,17/02/2020,1,-1,-1,3,5,1,-1,2,N,,0,-10,,,,,,
Emilia-Romagna,17/02/2020,1,1,2,14,5,4,-1,2,N,,0,-10,,,,,,
Friuli-Venezia Giulia,17/02/2020,1,0,1,3,1,0,0,2,N,,0,-10,,,,,,
Italia,17/02/2020,1,0,1,7,3,1,0,2,N,,,-10,,,,,,
Lazio,17/02/2020,1,1,1,13,3,2,-1,2,N,,0,-10,,,,,,
Liguria,17/02/2020,1,-5,-4,-20,-2,-2,1,2,N,,0,-10,,,,,,
Lombardy,17/02/2020,1,-3,-2,-14,1,0,0,2,N,,0,-10,,,,,,
Marche,17/02/2020,1,1,1,12,5,1,-1,2,N,,0,-10,,,,,,
Molise,17/02/2020,1,-1,-1,12,6,1,-1,2,N,,0,-10,,,,,,
Piedmont,17/02/2020,1,-1,1,3,0,0,0,2,N,,0,-10,,,,,,
Sardinia,17/02/2020,1,0,0,14,3,0,0,2,N,,0,-10,,,,,,
Sicily,17/02/2020,1,-2,-1,6,2,1,0,2,N,,0,-10,,,,,,
Trentino-South Tyrol,17/02/2020,1,5,6,5,4,1,0,2,N,,0,-10,,,,,,
Tuscany,17/02/2020,1,1,3,9,3,1,0,2,N,,0,-10,,,,,,
Umbria,17/02/2020,1,0,2,19,5,1,-1,2,N,,0,-10,,,,,,
Veneto,17/02/2020,1,-1,2,11,6,1,0,2,N,,0,-10,,,,,,
Abruzzo,18/02/2020,2,1,2,22,5,2,-1,2,N,,0,-10,,,,,,
Aosta,18/02/2020,2,12,7,25,9,3,-1,2,N,,0,-10,,,,,,
Apulia,18/02/2020,2,0,-1,15,5,1,0,2,N,,0,-10,,,,,,
Basilicata,18/02/2020,2,0,-1,21,-1,0,0,2,N,,0,-10,,,,,,
Calabria,18/02/2020,2,-1,-2,13,5,1,0,2,N,,0,-10,,,,,,
Campania,18/02/2020,2,0,-1,7,5,2,-1,2,N,,0,-10,,,,,,
Emilia-Romagna,18/02/2020,2,1,1,6,2,1,0,2,N,,0,-10,,,,,,
Friuli-Venezia Giulia,18/02/2020,2,5,2,22,4,2,0,2,N,,0,-10,,,,,,
Italia,18/02/2020,2,3,1,16,4,1,0,2,N,,,-10,,,,,,
Lazio,18/02/2020,2,2,0,11,2,1,0,2,N,,0,-10,,,,,,
Liguria,18/02/2020,2,1,1,19,3,0,0,2,N,,0,-10,,,,,,
Lombardy,18/02/2020,2,2,1,32,4,1,0,2,N,,0,-10,,,,,,
Marche,18/02/2020,2,2,0,14,3,1,0,2,N,,0,-10,,,,,,
Molise,18/02/2020,2,4,0,17,7,3,-1,2,N,,0,-10,,,,,,
Piedmont,18/02/2020,2,2,0,22,3,0,0,2,N,,0,-10,,,,,,
Sardinia,18/02/2020,2,0,0,7,1,1,0,2,N,,0,-10,,,,,,
Sicily,18/02/2020,2,-2,-3,14,5,2,0,2,N,,0,-10,,,,,,
Trentino-South Tyrol,18/02/2020,2,9,4,26,10,1,-1,2,N,,0,-10,,,,,,
Tuscany,18/02/2020,2,2,1,21,2,1,0,2,N,,0,-10,,,,,,
Umbria,18/02/2020,2,1,1,26,6,1,-1,2,N,,0,-10,,,,,,
Veneto,18/02/2020,2,4,1,28,7,1,0,2,N,,0,-10,,,,,,
Abruzzo,19/02/2020,3,-4,-1,-12,1,1,0,2,N,,0,-10,,,,,,
Aosta,19/02/2020,3,5,7,10,3,2,0,2,N,,0,-10,,,,,,
Apulia,19/02/2020,3,-3,-2,4,3,1,0,2,N,,0,-10,,,,,,
Basilicata,19/02/2020,3,-3,-1,5,0,2,-1,2,N,,0,-10,,,,,,
Calabria,19/02/2020,3,-6,-1,-2,0,0,0,2,N,,0,-10,,,,,,
Campania,19/02/2020,3,-2,-2,-4,2,1,0,2,N,,0,-10,,,,,,
Emilia-Romagna,19/02/2020,3,1,0,12,2,1,0,2,N,,0,-10,,,,,,
Friuli-Venezia Giulia,19/02/2020,3,1,1,12,1,1,0,2,N,,0,-10,,,,,,
Italia,19/02/2020,3,0,-1,11,3,1,0,2,N,,,-10,,,,,,
Lazio,19/02/2020,3,-2,-3,-2,0,1,0,2,N,,0,-10,,,,,,
Liguria,19/02/2020,3,-1,0,10,1,0,-1,2,N,,0,-10,,,,,,
Lombardy,19/02/2020,3,2,1,19,4,1,-1,2,N,,0,-10,,,,,,
Marche,19/02/2020,3,0,-1,0,1,1,0,2,N,,0,-10,,,,,,
Molise,19/02/2020,3,-1,0,-9,-1,1,0,2,N,,0,-10,,,,,,
Piedmont,19/02/2020,3,1,0,15,0,0,0,2,N,,0,-10,,,,,,
Sardinia,19/02/2020,3,-1,-1,0,1,1,0,2,N,,0,-10,,,,,,
Sicily,19/02/2020,3,-1,-1,5,3,0,0,2,N,,0,-10,,,,,,
Trentino-South Tyrol,19/02/2020,3,7,6,11,7,1,0,2,N,,0,-10,,,,,,
Tuscany,19/02/2020,3,0,0,9,0,1,0,2,N,,0,-10,,,,,,
Umbria,19/02/2020,3,0,0,2,3,1,0,2,N,,0,-10,,,,,,
Veneto,19/02/2020,3,3,0,23,7,1,-1,2,N,,0,-10,,,,,,
Abruzzo,20/02/2020,4,1,4,-3,5,1,0,2,N,,0,-10,,,,,,
Aosta,20/02/2020,4,11,4,31,8,0,-1,2,N,,0,-10,,,,,,
Apulia,20/02/2020,4,-3,-1,-7,2,-1,1,2,N,,0,-10,,,,,,
Basilicata,20/02/2020,4,-4,-1,-5,-4,1,1,2,N,,0,-10,,,,,,
Calabria,20/02/2020,4,-4,1,4,3,-1,1,2,N,,0,-10,,,,,,
Campania,20/02/2020,4,0,-1,4,6,1,-1,2,N,,0,-10,,,,,,
Emilia-Romagna,20/02/2020,4,2,0,19,5,1,-1,2,N,,0,-10,,,,,,
Friuli-Venezia Giulia,20/02/2020,4,3,1,19,3,1,-1,2,N,,0,-10,,,,,,
Italia,20/02/2020,4,2,1,18,5,1,0,2,N,,,-10,,,,,,
Lazio,20/02/2020,4,2,1,21,5,1,-1,2,N,,0,-10,,,,,,
Liguria,20/02/2020,4,1,2,20,4,-1,-1,2,N,,0,-10,,,,,,
Lombardy,20/02/2020,4,2,0,19,4,0,-1,2,N,,0,-10,,,,,,
Marche,20/02/2020,4,3,1,33,6,1,-1,2,N,,0,-10,,,,,,
Molise,20/02/2020,4,-1,-1,-13,0,1,0,2,N,,0,-10,,,,,,
Piedmont,20/02/2020,4,2,1,23,4,0,0,2,N,,0,-10,,,,,,
Sardinia,20/02/2020,4,1,-1,20,5,1,0,2,N,,0,-10,,,,,,
Sicily,20/02/2020,4,0,0,9,4,-1,0,2,N,,0,-10,,,,,,
Trentino-South Tyrol,20/02/2020,4,8,5,26,11,-1,0,2,N,,0,-10,,,,,,
Tuscany,20/02/2020,4,2,0,28,3,0,-1,2,N,,0,-10,,,,,,
Umbria,20/02/2020,4,2,0,14,4,0,-1,2,N,,0,-10,,,,,,
Veneto,20/02/2020,4,5,2,33,10,1,-1,2,N,,0,-10,,,,,,
Abruzzo,21/02/2020,5,1,3,6,7,0,-1,2,N,,0,10,,,,,,
Aosta,21/02/2020,5,11,9,29,16,0,-1,2,N,,0,10,,,,,,
Apulia,21/02/2020,5,-1,1,5,5,0,0,2,N,,0,10,,,,,,
Basilicata,21/02/2020,5,-2,2,14,0,0,0,2,N,,0,10,,,,,,
Calabria,21/02/2020,5,-2,-1,7,0,0,1,2,N,,0,10,,,,,,
Campania,21/02/2020,5,0,1,6,8,0,-1,2,N,,0,10,,,,,,
Emilia-Romagna,21/02/2020,5,1,2,11,4,0,0,2,N,,0,10,,,,,,
Friuli-Venezia Giulia,21/02/2020,5,2,2,21,7,0,-1,2,N,,0,10,,,,,,
Italia,21/02/2020,5,1,1,19,5,0,-1,2,N,,,10,,,,,,
Lazio,21/02/2020,5,1,0,21,6,1,-1,2,N,,0,10,,,,,,
Liguria,21/02/2020,5,7,7,50,6,0,-1,2,N,,0,10,,,,,,
Lombardy,21/02/2020,5,1,1,20,3,0,0,2,N,,0,10,,,,,,
Marche,21/02/2020,5,1,0,14,7,0,0,2,N,,0,10,,,,,,
Molise,21/02/2020,5,3,1,8,7,0,-1,2,N,,0,10,,,,,,
Piedmont,21/02/2020,5,1,1,25,5,0,0,2,N,,0,10,,,,,,
Sardinia,21/02/2020,5,-1,0,5,3,0,0,2,N,,0,10,,,,,,
Sicily,21/02/2020,5,0,0,19,1,-2,0,2,N,,0,10,,,,,,
Trentino-South Tyrol,21/02/2020,5,4,5,13,6,-2,0,2,N,,0,10,,,,,,
Tuscany,21/02/2020,5,2,1,28,6,0,-1,2,N,,0,10,,,,,,
Umbria,21/02/2020,5,2,2,18,8,1,-2,2,N,,0,10,,,,,,
Veneto,21/02/2020,5,4,2,36,13,0,-1,2,N,,0,10,,,,,,
Abruzzo,22/02/2020,6,1,6,34,8,0,0,2,N,,0,-5,,,,,,
Aosta,22/02/2020,6,9,10,33,24,2,-1,2,N,,0,-5,,,,,,
Apulia,22/02/2020,6,-6,2,-3,4,-2,1,2,N,,0,-5,,,,,,
Basilicata,22/02/2020,6,-2,1,8,-4,-2,0,2,N,,0,-5,,,,,,
Calabria,22/02/2020,6,-5,1,-1,0,1,1,2,N,,0,-5,,,,,,
Campania,22/02/2020,6,-1,5,17,10,0,-1,2,N,,0,-5,,,,,,
Emilia-Romagna,22/02/2020,6,2,10,22,8,1,0,2,N,,0,-5,,,,,,
Friuli-Venezia Giulia,22/02/2020,6,-1,4,49,16,0,-1,2,N,,0,-5,,,,,,
Italia,22/02/2020,6,-1,3,30,8,0,-1,2,N,,,-5,,,,,,
Lazio,22/02/2020,6,4,2,40,11,2,-2,2,N,,0,-5,,,,,,
Liguria,22/02/2020,6,1,6,42,8,1,-1,2,N,,0,-5,,,,,,
Lombardy,22/02/2020,6,-6,6,37,1,-1,0,2,N,,0,-5,,,,,,
Marche,22/02/2020,6,1,4,26,10,1,0,2,N,,0,-5,,,,,,
Molise,22/02/2020,6,0,0,18,10,0,0,2,N,,0,-5,,,,,,
Piedmont,22/02/2020,6,-3,2,28,5,-3,0,2,N,,0,-5,,,,,,
Sardinia,22/02/2020,6,-2,1,23,6,0,0,2,N,,0,-5,,,,,,
Sicily,22/02/2020,6,-3,1,15,4,-3,0,2,N,,0,-5,,,,,,
Trentino-South Tyrol,22/02/2020,6,7,8,33,17,-4,-1,2,N,,0,-5,,,,,,
Tuscany,22/02/2020,6,4,3,71,15,1,-2,2,N,,0,-5,,,,,,
Umbria,22/02/2020,6,2,4,56,16,1,-1,2,N,,0,-5,,,,,,
Veneto,22/02/2020,6,-3,8,48,17,1,-1,2,N,,0,-5,,,,,,
Abruzzo,23/02/2020,7,2,17,54,20,3,-2,2,N,,0,-2.5,,,,,,
Aosta,23/02/2020,7,18,30,43,36,2,-3,2,N,,0,-2.5,,,,,,
Apulia,23/02/2020,7,1,7,76,26,0,-1,2,N,,0,-2.5,,,,,,
Basilicata,23/02/2020,7,10,10,62,32,5,-2,2,N,,0,-2.5,,,,,,
Calabria,23/02/2020,7,0,9,27,2,5,0,2,N,,0,-2.5,,,,,,
Campania,23/02/2020,7,-1,7,29,17,3,-2,2,N,,0,-2.5,,,,,,
Emilia-Romagna,23/02/2020,7,-7,25,29,-3,0,0,2,N,,0,-2.5,,,,,,
Friuli-Venezia Giulia,23/02/2020,7,-5,15,21,11,1,0,2,N,,0,-2.5,,,,,,
Italia,23/02/2020,7,-5,16,23,6,1,0,2,N,,,-2.5,,,,,,
Lazio,23/02/2020,7,1,8,28,9,2,-2,2,N,,0,-2.5,,,,,,
Liguria,23/02/2020,7,-2,15,-8,-3,-3,1,2,N,,0,-2.5,,,,,,
Lombardy,23/02/2020,7,-19,30,12,-13,-2,2,2,N,,0,-2.5,,,,,,
Marche,23/02/2020,7,-1,18,56,18,2,-1,2,N,,0,-2.5,,,,,,
Molise,23/02/2020,7,13,12,61,30,3,-2,2,N,,0,-2.5,,,,,,
Piedmont,23/02/2020,7,-8,15,17,3,1,0,2,N,,0,-2.5,,,,,,
Sardinia,23/02/2020,7,5,6,43,19,3,-2,2,N,,0,-2.5,,,,,,
Sicily,23/02/2020,7,1,8,35,9,1,-1,2,N,,0,-2.5,,,,,,
Trentino-South Tyrol,23/02/2020,7,13,26,31,24,0,-1,2,N,,0,-2.5,,,,,,
Tuscany,23/02/2020,7,1,11,20,9,0,0,2,N,,0,-2.5,,,,,,
Umbria,23/02/2020,7,-1,14,32,26,1,-1,2,N,,0,-2.5,,,,,,
Veneto,23/02/2020,7,-16,17,17,8,-1,2,2,N,,0,-2.5,,,,,,
Abruzzo,24/02/2020,1,5,19,25,2,-10,1,2,N,,0,3.333333333,0,0,0,0,0,
Aosta,24/02/2020,1,34,39,62,19,-18,3,2,N,,0,3.333333333,0,0,0,0,0,
Apulia,24/02/2020,1,2,14,28,-1,-15,2,2,N,,0,3.333333333,0,0,0,0,0,
Basilicata,24/02/2020,1,0,15,32,-8,-19,2,2,N,,0,3.333333333,0,0,0,0,0,
Calabria,24/02/2020,1,-2,20,13,-5,-5,2,2,N,,0,3.333333333,0,0,0,0,0,
Campania,24/02/2020,1,-1,18,2,-5,-16,3,2,N,,0,3.333333333,0,0,0,0,0,
Emilia-Romagna,24/02/2020,1,-7,33,25,-18,-13,6,2,N,,0,3.333333333,18,18,0,0,12,
Friuli-Venezia Giulia,24/02/2020,1,-5,26,22,-20,-18,5,2,N,,0,3.333333333,0,0,0,0,0,
Italia,24/02/2020,1,-4,23,22,-15,-14,4,2,N,,,3.333333333,221,221,7,7,127,
Lazio,24/02/2020,1,2,18,17,-3,-3,1,2,N,,0,3.333333333,2,2,0,0,2,
Liguria,24/02/2020,1,-2,24,15,-13,-16,5,2,N,,0,3.333333333,0,0,0,0,0,
Lombardy,24/02/2020,1,-18,27,28,-32,-22,9,2,N,,0,3.333333333,166,166,6,6,95,
Marche,24/02/2020,1,4,25,22,3,-1,1,2,N,,0,3.333333333,0,0,0,0,0,
Molise,24/02/2020,1,6,12,9,0,-7,0,2,N,,0,3.333333333,0,0,0,0,0,
Piedmont,24/02/2020,1,-6,23,31,-21,-21,5,2,N,,0,3.333333333,3,3,0,0,2,
Sardinia,24/02/2020,1,1,5,33,-3,-12,2,2,N,,0,3.333333333,0,0,0,0,0,
Sicily,24/02/2020,1,-1,14,12,-7,-12,3,2,N,,0,3.333333333,0,0,0,0,0,
Trentino-South Tyrol,24/02/2020,1,10,26,38,-3,-19,4,2,N,,0,3.333333333,0,0,0,0,0,
Tuscany,24/02/2020,1,3,25,20,0,0,0,2,N,,0,3.333333333,0,0,0,0,0,
Umbria,24/02/2020,1,3,20,35,4,1,0,2,N,,0,3.333333333,0,0,0,0,0,
Veneto,24/02/2020,1,-12,28,14,-21,-18,6,2,N,,0,3.333333333,32,32,1,1,16,
Abruzzo,25/02/2020,2,4,7,50,-3,-15,3,2,N,,0,-3.333333333,0,0,0,0,0,
Aosta,25/02/2020,2,23,23,80,27,-18,2,2,N,,0,-3.333333333,0,0,0,0,0,
Apulia,25/02/2020,2,2,4,28,-2,-15,2,2,N,,0,-3.333333333,0,0,0,0,0,
Basilicata,25/02/2020,2,-1,0,33,-7,-19,4,2,N,,0,-3.333333333,0,0,0,0,0,
Calabria,25/02/2020,2,-4,7,27,-7,-12,3,2,N,,0,-3.333333333,0,0,0,0,0,
Campania,25/02/2020,2,-2,-2,17,-7,-20,5,2,N,,0,-3.333333333,0,0,0,0,0,
Emilia-Romagna,25/02/2020,2,-11,1,24,-23,-15,7,2,N,,0,-3.333333333,26,8,0,0,17,
Friuli-Venezia Giulia,25/02/2020,2,-9,3,3,-23,-18,7,2,N,,0,-3.333333333,0,0,0,0,0,
Italia,25/02/2020,2,-6,5,20,-18,-15,5,2,N,,,-3.333333333,311,93,10,3,149,
Lazio,25/02/2020,2,1,7,12,-7,-3,1,2,N,,0,-3.333333333,2,0,0,0,2,
Liguria,25/02/2020,2,-8,4,9,-18,-16,6,2,N,,0,-3.333333333,1,1,0,0,1,
Lombardy,25/02/2020,2,-22,3,8,-37,-23,11,2,N,,0,-3.333333333,231,68,9,3,104,
Marche,25/02/2020,2,3,8,57,1,-4,2,2,N,,0,-3.333333333,0,0,0,0,0,
Molise,25/02/2020,2,7,2,14,-4,-11,1,2,N,,0,-3.333333333,0,0,0,0,0,
Piedmont,25/02/2020,2,-10,3,3,-26,-21,7,2,N,,0,-3.333333333,3,0,0,0,2,
Sardinia,25/02/2020,2,4,-1,74,1,-17,2,2,N,,0,-3.333333333,0,0,0,0,0,
Sicily,25/02/2020,2,-1,8,35,-9,-12,3,2,N,,0,-3.333333333,3,3,0,0,1,
Trentino-South Tyrol,25/02/2020,2,1,15,19,-12,-23,7,2,N,,0,-3.333333333,1,1,0,0,1,
Tuscany,25/02/2020,2,0,12,32,-6,-1,1,2,N,,0,-3.333333333,2,2,0,0,2,
Umbria,25/02/2020,2,0,9,20,1,1,1,2,N,,0,-3.333333333,0,0,0,0,0,
Veneto,25/02/2020,2,-11,3,9,-26,-19,7,2,N,,0,-3.333333333,42,10,1,0,19,
Abruzzo,26/02/2020,3,-5,1,-10,-11,-3,2,2,N,,0,-5,0,0,0,0,0,
Aosta,26/02/2020,3,0,9,7,-2,-17,6,2,N,,0,-5,0,0,0,0,0,
Apulia,26/02/2020,3,-7,0,0,-10,-5,2,2,N,,0,-5,0,0,0,0,0,
Basilicata,26/02/2020,3,-9,-2,-5,-10,-3,2,2,N,,0,-5,0,0,0,0,0,
Calabria,26/02/2020,3,-13,-4,-8,-14,-6,3,2,N,,0,-5,0,0,0,0,0,
Campania,26/02/2020,3,-10,-6,-14,-11,-11,4,2,N,,0,-5,0,0,0,0,0,
Emilia-Romagna,26/02/2020,3,-18,-9,-16,-31,-15,8,2,N,,0,-5,46,21,1,1,23,
Friuli-Venezia Giulia,26/02/2020,3,-14,-7,-18,-26,-18,7,2,N,,0,-5,0,0,0,0,0,
Italia,26/02/2020,3,-13,-5,-6,-23,-12,6,2,N,,,-5,385,78,12,2,164,
Lazio,26/02/2020,3,-8,-3,-7,-10,0,2,2,N,,0,-5,0,0,0,0,0,
Liguria,26/02/2020,3,-10,-4,2,-18,-16,6,2,N,,0,-5,11,10,0,0,6,
Lombardy,26/02/2020,3,-23,-7,-5,-40,-23,11,2,N,,0,-5,249,18,9,0,104,
Marche,26/02/2020,3,-10,2,-10,-18,-12,6,2,N,,0,-5,1,1,0,0,1,
Molise,26/02/2020,3,-5,-3,-8,-4,-5,2,2,N,,0,-5,0,0,0,0,0,
Piedmont,26/02/2020,3,-14,-7,-12,-29,-19,8,2,N,,0,-5,3,0,0,0,2,
Sardinia,26/02/2020,3,-7,-2,-6,-5,-4,2,2,N,,0,-5,0,0,0,0,0,
Sicily,26/02/2020,3,-11,-3,-1,-17,-12,4,2,N,,0,-5,3,0,0,0,1,
Trentino-South Tyrol,26/02/2020,3,-2,2,-2,-16,-17,6,2,N,,0,-5,1,0,0,0,1,
Tuscany,26/02/2020,3,-11,-5,-19,-15,-2,3,2,N,,0,-5,2,0,0,0,2,
Umbria,26/02/2020,3,-8,-1,-11,-6,0,2,2,N,,0,-5,0,0,0,0,0,
Veneto,26/02/2020,3,-15,-7,-6,-29,-17,7,2,N,,0,-5,69,28,2,1,24,
Abruzzo,27/02/2020,4,-3,3,-1,-8,0,2,2,N,,0,10,1,1,0,0,1,
Aosta,27/02/2020,4,2,3,2,-1,-14,7,2,N,,0,10,0,0,0,0,0,
Apulia,27/02/2020,4,-8,2,-16,-13,-4,3,2,N,,0,10,1,1,0,0,1,
Basilicata,27/02/2020,4,-6,2,-3,-10,-2,3,2,N,,0,10,0,0,0,0,0,
Calabria,27/02/2020,4,-9,-1,-12,-15,-4,4,2,N,,0,10,0,0,0,0,0,
Campania,27/02/2020,4,-6,-1,-4,-15,-16,5,2,N,,0,10,3,3,0,0,2,
Emilia-Romagna,27/02/2020,4,-12,-6,3,-29,-15,7,2,N,,0,10,96,50,1,0,42,
Friuli-Venezia Giulia,27/02/2020,4,-9,-4,5,-22,-14,6,2,N,,0,10,0,0,0,0,0,
Italia,27/02/2020,4,-10,-3,-1,-22,-12,6,2,N,,,10,588,250,17,5,304,
Lazio,27/02/2020,4,-4,0,0,-9,1,1,2,N,,0,10,0,0,0,0,0,
Liguria,27/02/2020,4,-9,-4,5,-18,-16,6,2,N,,0,10,19,8,0,0,9,
Lombardy,27/02/2020,4,-19,-7,7,-39,-23,10,2,N,,0,10,349,145,14,5,213,
Marche,27/02/2020,4,-6,0,11,-16,-11,6,2,N,,0,10,3,2,0,0,3,
Molise,27/02/2020,4,-2,-1,-8,-2,0,1,2,N,,0,10,0,0,0,0,0,
Piedmont,27/02/2020,4,-9,-4,-2,-26,-18,7,2,N,,0,10,2,-1,0,0,2,
Sardinia,27/02/2020,4,-3,0,-6,-4,0,2,2,N,,0,10,0,0,0,0,0,
Sicily,27/02/2020,4,-8,-1,-5,-16,-8,4,2,N,,0,10,2,1,0,0,1,
Trentino-South Tyrol,27/02/2020,4,0,3,4,-12,-18,6,2,N,,0,10,1,0,0,0,1,
Tuscany,27/02/2020,4,-10,-7,-17,-13,-1,3,2,N,,0,10,2,0,0,0,2,
Umbria,27/02/2020,4,-5,0,2,-5,0,2,2,N,,0,10,0,0,0,0,0,
Veneto,27/02/2020,4,-11,-5,2,-29,-15,7,2,N,,0,10,109,40,2,0,27,
Abruzzo,28/02/2020,5,-3,2,-3,-11,-1,2,2,N,,0,-3.333333333,1,0,0,0,1,
Aosta,28/02/2020,5,21,18,36,9,-13,4,2,N,,0,-3.333333333,0,0,0,0,0,
Apulia,28/02/2020,5,-9,-1,-18,-16,-3,3,2,N,,0,-3.333333333,3,2,0,0,1,
Basilicata,28/02/2020,5,-8,-2,-15,-10,-2,3,2,N,,0,-3.333333333,0,0,0,0,0,
Calabria,28/02/2020,5,-10,-3,-13,-21,-5,4,2,N,,0,-3.333333333,1,1,0,0,0,
Campania,28/02/2020,5,-6,-1,-9,-16,-16,5,2,N,,0,-3.333333333,4,1,0,0,2,
Emilia-Romagna,28/02/2020,5,-11,-5,12,-28,-15,7,2,N,,0,-3.333333333,143,48,2,1,62,
Friuli-Venezia Giulia,28/02/2020,5,-7,-5,14,-21,-14,6,2,N,,0,-3.333333333,0,0,0,0,0,
Italia,28/02/2020,5,-8,-2,11,-20,-12,5,2,N,,,-3.333333333,821,238,21,4,409,
Lazio,28/02/2020,5,-3,0,5,-7,1,1,2,N,,0,-3.333333333,0,0,0,0,0,
Liguria,28/02/2020,5,1,2,66,-11,-14,4,2,N,,0,-3.333333333,19,0,0,0,9,
Lombardy,28/02/2020,5,-16,-6,32,-37,-24,10,2,N,,0,-3.333333333,474,128,17,3,282,
Marche,28/02/2020,5,-7,-3,5,-18,-11,6,2,N,,0,-3.333333333,6,3,0,0,5,
Molise,28/02/2020,5,0,1,-9,-4,0,1,2,N,,0,-3.333333333,0,0,0,0,0,
Piedmont,28/02/2020,5,-8,-3,24,-22,-17,7,2,N,,0,-3.333333333,11,9,0,0,7,
Sardinia,28/02/2020,5,-3,1,4,-4,0,1,2,N,,0,-3.333333333,0,0,0,0,0,
Sicily,28/02/2020,5,-8,-2,-4,-19,-8,4,2,N,,0,-3.333333333,2,0,0,0,1,
Trentino-South Tyrol,28/02/2020,5,-1,0,10,-12,-17,6,2,N,,0,-3.333333333,1,0,0,0,1,
